02,PL-02,Polska,Województwo dolnośląskie,"19 946,74 km²",2 883 133,https://upload.wikimedia.org/wikipedia/commons/4/4b/POL_wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/POL_wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_dolno%C5%9Bl%C4%85skiego,https://upload.wikimedia.org/wikipedia/commons/b/b1/Lower_Silesian_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/1/12/Lower_Silesian_in_Poland_%28%2Brivers%29.svg
04,PL-KP,Polska,województwo kujawsko-pomorskie,"17 971,34 km²",2 001 670,https://upload.wikimedia.org/wikipedia/commons/a/a2/POL_wojew%C3%B3dztwo_kujawsko-pomorskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/POL_wojew%C3%B3dztwo_kujawsko-pomorskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_kujawsko-pomorskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_kujawsko-pomorskiego,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kuyavian-Pomeranian_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kuyavian-Pomeranian_in_Poland_%28%2Brivers%29.svg
06,PL-LU,Polska,Województwo lubelskie,"25 122,46 km²",2 038 299,https://upload.wikimedia.org/wikipedia/commons/7/70/POL_wojew%C3%B3dztwo_lubelskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/4/4d/POL_wojew%C3%B3dztwo_lubelskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_lubelskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_lubelskiego,https://upload.wikimedia.org/wikipedia/commons/a/aa/Lublin_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/9/94/Lublin_in_Poland_%28%2Brivers%29.svg
08,PL-08,Polska,Województwo lubuskie,"13 987,93 km²",977 493,https://upload.wikimedia.org/wikipedia/commons/0/01/POL_wojew%C3%B3dztwo_lubuskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/c/c6/POL_wojew%C3%B3dztwo_lubuskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_lubuskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_lubuskiego,https://upload.wikimedia.org/wikipedia/commons/f/f0/Lubusz_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/4/40/Lubusz_in_Poland_%28%2Brivers%29.svg
10,PL-LD,Polska,województwo łódzkie,"18 218,98 km²",2 362 519,https://upload.wikimedia.org/wikipedia/commons/5/5b/POL_wojew%C3%B3dztwo_%C5%82%C3%B3dzkie_1_flag.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/POL_wojew%C3%B3dztwo_%C5%82%C3%B3dzkie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_%C5%82%C3%B3dzkie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_%C5%82%C3%B3dzkiego,https://upload.wikimedia.org/wikipedia/commons/7/7b/%C5%81%C3%B3d%C5%BA_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Lodz_in_Poland_%28%2Brivers%29.svg
12,PL-MA,Polska,Województwo małopolskie,"15 182,87 km²",3 430 370,https://upload.wikimedia.org/wikipedia/commons/8/80/POL_wojew%C3%B3dztwo_ma%C5%82opolskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/d/d2/POL_wojew%C3%B3dztwo_ma%C5%82opolskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_ma%C5%82opolskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_ma%C5%82opolskiego,https://upload.wikimedia.org/wikipedia/commons/c/c4/Lesser_Poland_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/Lesser_Poland_in_Poland_%28%2Brivers%29.svg
14,PL-MZ,Polska,województwo mazowieckie,"35 558,47 km²",5 512 794,https://upload.wikimedia.org/wikipedia/commons/3/33/POL_wojew%C3%B3dztwo_mazowieckie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/6/69/POL_wojew%C3%B3dztwo_mazowieckie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_mazowieckie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_mazowieckiego,https://upload.wikimedia.org/wikipedia/commons/f/fb/Masovian_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/5/57/Masovian_in_Poland_%28%2Brivers%29.svg
16,PL-OP,Polska,województwo opolskie,"9411,87 km²",948 583,https://upload.wikimedia.org/wikipedia/commons/a/a0/POL_wojew%C3%B3dztwo_opolskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/5/57/POL_wojew%C3%B3dztwo_opolskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_opolskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_opolskiego,https://upload.wikimedia.org/wikipedia/commons/0/04/Opole_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/5/53/Opolskie_in_Poland_%28%2Brivers%29.svg
18,PL-PK,Polska,województwo podkarpackie,"17 845,76 km²",2 085 932,https://upload.wikimedia.org/wikipedia/commons/9/94/POL_wojew%C3%B3dztwo_podkarpackie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/6/61/POL_wojew%C3%B3dztwo_podkarpackie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_podkarpackie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_podkarpackiego,https://upload.wikimedia.org/wikipedia/commons/7/7b/Podkarpackie_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Podkarpackie_in_Poland_%28%2Brivers%29.svg
20,PL-PD,Polska,województwo podlaskie,"20 187,02km²",1 148 720,https://upload.wikimedia.org/wikipedia/commons/4/41/POL_wojew%C3%B3dztwo_podlaskie_flag.svg,https://upload.wikimedia.org/wikipedia/commons/e/e4/POL_wojew%C3%B3dztwo_podlaskie_COA.svg,https://pl.wikipedia.org//wiki/Wojew%C3%B3dztwo_podlaskie,https://pl.wikipedia.org//wiki/Podzia%C5%82_administracyjny_wojew%C3%B3dztwa_podlaskiego,https://upload.wikimedia.org/wikipedia/commons/2/26/Podlaskie_Voivodeship_administrative_map.svg,https://upload.wikimedia.org/wikipedia/commons/1/12/Podlaskie_in_Poland_%28%2Brivers%29.svg
